# arrays of x and ysin and ycos
x,sin,cos
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.010101010101010083e-01,2.006488565226854093e-01,9.796632259996997938e-01
2.020202020202020166e-01,3.931366121483297893e-01,9.194800727522776107e-01
3.030303030303030387e-01,5.696341069089656539e-01,8.218984026301699997e-01
4.040404040404040331e-01,7.229625614794604749e-01,6.908872083770674077e-01
5.050505050505050830e-01,8.468855636029833933e-01,5.317751800910391902e-01
6.060606060606060774e-01,9.363627251042847544e-01,3.510339684920502079e-01
7.070707070707070718e-01,9.877546923600838413e-01,1.560149599257585340e-01
8.080808080808080662e-01,9.989711717233568100e-01,-4.534973060188524085e-02
9.090909090909090606e-01,9.695559491823236842e-01,-2.448698866850789191e-01
1.010101010101010166e+00,9.007054462029554509e-01,-4.344303156782856612e-01
1.111111111111111160e+00,7.952200570230490984e-01,-6.063209223738353915e-01
1.212121212121212155e+00,6.573902466827754587e-01,-7.535503059294446082e-01
1.313131313131313149e+00,4.928220425889234813e-01,-8.701301249459654219e-01
1.414141414141414144e+00,3.082090174900768420e-01,-9.513186645587279333e-01
1.515151515151515138e+00,1.110600381241297202e-01,-9.938136988046939457e-01
1.616161616161616132e+00,-9.060614703340773290e-02,-9.958868038686728985e-01
1.717171717171717127e+00,-2.885870587204324433e-01,-9.574536592123347178e-01
1.818181818181818121e+00,-4.748301108222394706e-01,-8.800774771896732185e-01
1.919191919191919116e+00,-6.417601376193877716e-01,-7.669054216542900981e-01
2.020202020202020332e+00,-7.825875026542021828e-01,-6.225406016393301156e-01
2.121212121212121104e+00,-8.915842573351402400e-01,-4.528548465812708423e-01
2.222222222222222321e+00,-9.643171169287781952e-01,-2.647498781834828896e-01
2.323232323232323093e+00,-9.978277779792126267e-01,-6.587659290724677541e-02
2.424242424242424310e+00,-9.907532430056771311e-01,1.356761271327191209e-01
2.525252525252525082e+00,-9.433812584459996264e-01,3.317104177032159651e-01
2.626262626262626299e+00,-8.576386109880517195e-01,5.142528686769626267e-01
2.727272727272727071e+00,-7.370127583189133302e-01,6.758788309121296356e-01
2.828282828282828287e+00,-5.864099818472350290e-01,8.100144030756030178e-01
2.929292929292929060e+00,-4.119558308308627903e-01,9.112038155344025503e-01
3.030303030303030276e+00,-2.207459745550633401e-01,9.753313358637336616e-01
3.131313131313131048e+00,-2.055759628726006386e-02,9.997886702873213238e-01
3.232323232323232265e+00,1.804669323599109310e-01,9.835810522395209698e-01
3.333333333333333481e+00,3.741512305712199615e-01,9.273677030509752672e-01
3.434343434343434254e+00,5.526174707464058811e-01,8.334350190781794065e-01
3.535353535353535470e+00,7.086067976992181938e-01,7.056035758515253331e-01
3.636363636363636243e+00,8.357745720522589128e-01,5.490727317130795759e-01
3.737373737373737459e+00,9.289484292312513158e-01,3.702091514654802240e-01
3.838383838383838231e+00,9.843386578838235756e-01,1.762878515254889811e-01
3.939393939393939448e+00,9.996923408861116966e-01,-2.480370080544783834e-02
4.040404040404040664e+00,9.743849894755357566e-01,-2.248863986210817290e-01
4.141414141414140992e+00,9.094459434244624996e-01,-4.158221687077172657e-01
4.242424242424242209e+00,8.075165041395625520e-01,-5.898449758557072764e-01
4.343434343434343425e+00,6.727425035622647265e-01,-7.398766950653170582e-01
4.444444444444444642e+00,5.106056784742829535e-01,-8.598150040036619535e-01
4.545454545454544970e+00,3.277007088134998303e-01,-9.447815861050266051e-01
4.646464646464646187e+00,1.314669886429584156e-01,-9.913205490138657927e-01
4.747474747474747403e+00,-7.011396040064676871e-02,-9.975389879884076771e-01
4.848484848484848619e+00,-2.688431259103840620e-01,-9.631839770525324473e-01
4.949494949494949836e+00,-4.566374876337737643e-01,-8.896528563926016098e-01
5.050505050505050164e+00,-6.258587825850161490e-01,-7.799363975743159871e-01
5.151515151515151381e+00,-7.696241803011909521e-01,-6.384971582518750299e-01
5.252525252525252597e+00,-8.820862319774623872e-01,-4.710879741150292843e-01
5.353535353535353813e+00,-9.586707069567294015e-01,-2.845179706505102102e-01
5.454545454545454142e+00,-9.962626429198221389e-01,-8.637561184970585226e-02
5.555555555555555358e+00,-9.933330424549106086e-01,1.152799495457504375e-01
5.656565656565656575e+00,-9.500010628071265950e-01,3.122466663798508235e-01
5.757575757575757791e+00,-8.680291693306353418e-01,4.965132034409228123e-01
5.858585858585858119e+00,-7.507514497694540712e-01,6.605847868889070940e-01
5.959595959595959336e+00,-6.029380050795535295e-01,7.977880432989004067e-01
6.060606060606060552e+00,-4.306009324986634357e-01,9.025424294354706944e-01
6.161616161616161769e+00,-2.407497922206854879e-01,9.705872127458184950e-01
6.262626262626262097e+00,-4.110650371268662062e-02,9.991547704697800736e-01
6.363636363636363313e+00,1.602087321472087933e-01,9.870831586770103527e-01
6.464646464646464530e+00,3.550077104499992919e-01,9.348633726492066032e-01
6.565656565656565746e+00,5.353672656012185005e-01,8.446193763599521009e-01
6.666666666666666963e+00,6.939515345770561616e-01,7.200217133240836009e-01
6.767676767676767291e+00,8.243103325011824634e-01,5.661382125698547485e-01
6.868686868686868507e+00,9.211415045489320663e-01,3.892278620516904653e-01
6.969696969696969724e+00,9.805065833960652233e-01,1.964862334031955426e-01
7.070707070707070940e+00,9.999909806585335348e-01,-4.247187491081489200e-03
7.171717171717171269e+00,9.788021967690196945e-01,-2.048078602010707239e-01
7.272727272727272485e+00,9.178020547461276379e-01,-3.970382705782731780e-01
7.373737373737373701e+00,8.194716467944691551e-01,-5.731197257990346960e-01
7.474747474747474918e+00,6.878104194817845629e-01,-7.258903683424181574e-01
7.575757575757575246e+00,5.281735020569957584e-01,-8.491364741458516940e-01
7.676767676767676463e+00,3.470538943436451973e-01,-9.378451868090542654e-01
7.777777777777777679e+00,1.518183733999129426e-01,-9.884084082494465351e-01
7.878787878787878896e+00,-4.959213944167376736e-02,-9.987695528527076316e-01
7.979797979797979224e+00,-2.489855640192253639e-01,-9.685071961064761759e-01
8.080808080808081328e+00,-4.382518623071877673e-01,-8.988522154304798839e-01
8.181818181818181657e+00,-6.096929024372429451e-01,-7.926377260247272627e-01
8.282828282828281985e+00,-7.563355690343919191e-01,-6.541838480224214658e-01
8.383838383838384090e+00,-8.722153845598611399e-01,-4.891219918763554664e-01
8.484848484848484418e+00,-9.526191057745707624e-01,-3.041658089155601652e-01
8.585858585858586522e+00,-9.942764280642703012e-01,-1.068381233256929935e-01
8.686868686868686851e+00,-9.954930003312314479e-01,9.483504780155238567e-02
8.787878787878787179e+00,-9.562193402649591389e-01,2.926509410599021366e-01
8.888888888888889284e+00,-8.780528469633162025e-01,4.785636822196343565e-01
8.989898989898989612e+00,-7.641728290436484716e-01,6.450115404792590157e-01
9.090909090909089940e+00,-6.192111908811196441e-01,7.852244908862595629e-01
9.191919191919192045e+00,-4.490640366237758085e-01,8.934995752719528950e-01
9.292929292929292373e+00,-2.606518547174744294e-01,9.654328617943044311e-01
9.393939393939394478e+00,-6.163803708687286276e-02,9.980985684711091155e-01
9.494949494949494806e+00,1.398828182038409362e-01,9.901680651138731193e-01
9.595959595959595134e+00,3.357141429738815797e-01,9.419639134315667128e-01
9.696969696969697239e+00,5.178907824351968170e-01,8.554467473014667478e-01
9.797979797979797567e+00,6.790029662980625602e-01,7.341355268330447270e-01
9.898989898989899672e+00,8.124976904186562709e-01,5.829644097750301679e-01
1.000000000000000000e+01,9.129452507276276663e-01,4.080820618133919608e-01
